handle,functional_role,involvement,is_known,archetype,note
c6_fam_togzhan,peripheral,legit,false,двоюродная сестра Алии,взнос на той
c6_fam_alibek,peripheral,legit,false,племянник Ержана,получил за помощь с ремонтом; взнос на той
c6_fam_raushan,peripheral,legit,false,тётя из Шымкента,клиент другого банка; переводит межбанком
c6_fam_kuda_zhomart,peripheral,legit,false,отец невесты (құда),получил қалың мал от Жанар; платит за свою часть банкета и приданое
c6_fam_aruzhan,peripheral,legit,false,невеста,получила от отца и жениха на подготовку
c6_toi_tamada_bauyrzhan,peripheral,legit,false,тамада,получил предоплату и расчёт за той; платит музыканту
c6_toi_musician_ertay,peripheral,legit,false,музыкант,получил от тамады
c6_toi_photo_akbota,peripheral,legit,false,фотограф,получила оплату за съёмку тоя
c6_cafe_dastarkhan,consolidator,legit,false,семейное кафе,принимает оплату от многих гостей и заказов; платит поставщикам персоналу аренду и владельцу — легальный сборщик
c6_cafe_owner_serik,peripheral,legit,false,владелец кафе,снимает выручку еженедельно; докладывает в кафе; купил б/у машину для доставки
c6_cafe_owner_wife_dinara,peripheral,legit,false,жена владельца кафе,хозяйство курсы детей мама
c6_dinara_mama,peripheral,legit,false,тёща владельца кафе,получает помощь от дочери
c6_cafe_cook_roza,peripheral,legit,false,повар кафе,зарплата дважды в месяц; аренда
c6_cafe_waiter_aibek,peripheral,legit,false,официант кафе,зарплата дважды в месяц
c6_cafe_waitress_moldir,peripheral,legit,false,официантка кафе,зарплата дважды в месяц
c6_cafe_dish_zina,peripheral,legit,false,посудомойка кафе,зарплата дважды в месяц; помогает дочери
c6_zina_daughter_lena,peripheral,legit,false,дочь посудомойки,получает помощь от мамы
c6_supp_meat_kairbek,peripheral,legit,false,поставщик мяса,еженедельная оплата от кафе; платит фермеру и помощнику
c6_supp_meat_helper_ermukhan,peripheral,legit,false,помощник мясника,зарплата от поставщика
c6_supp_veg_farida,peripheral,legit,false,поставщица овощей,еженедельная оплата от кафе
c6_brig_marat,distributor,legit,false,бригадир,получает оплату за подряд и раздаёт веером недельную зарплату 23 рабочим — легальный распределитель
c6_brig_client_ip,peripheral,legit,false,ИП-заказчик,платит бригадиру за подряд по этапам
c6_brig_wife_zhibek,peripheral,legit,false,жена бригадира,хозяйство курсы детей мама
c6_zhibek_mama_rysty,peripheral,legit,false,тёща бригадира,получает помощь
c6_wrk_ermek,peripheral,legit,false,рабочий бригады,зарплата раз в неделю; отдаёт жене
c6_wrk_ermek_wife_aigerim,peripheral,legit,false,жена рабочего,аренда хозяйство помогает сестре
c6_aigerim_sister_laura,peripheral,legit,false,сестра жены рабочего,получает помощь
c6_wrk_zhandos,peripheral,legit,false,рабочий бригады,зарплата; аренда; займ коллеге
c6_wrk_nurken,peripheral,legit,false,рабочий бригады,зарплата раз в две недели; отправляет семье в Туркестан
c6_wrk_beibit,peripheral,legit,false,рабочий бригады,зарплата раз в неделю
c6_wrk_samat,peripheral,legit,false,рабочий бригады,зарплата; жене; выкупил золото из ломбарда
c6_wrk_samat_wife_nazym,peripheral,legit,false,жена рабочего,хозяйство
c6_wrk_rustam,peripheral,legit,false,рабочий бригады,зарплата по пятницам; аренда
c6_wrk_oleg,peripheral,legit,false,сварщик бригады,зарплата раз в неделю; жене
c6_wrk_oleg_wife_irina,peripheral,legit,false,жена сварщика,хозяйство
c6_wrk_sergey,peripheral,legit,false,рабочий бригады,зарплата; аренда; алименты
c6_wrk_akmal,transit,legit,false,рабочий-мигрант,собирает доли аренды с соседей по комнате и платит хозяину — легальный пропускной счёт; отправляет семье
c6_wrk_akmal_brother_jasur,peripheral,legit,false,брат рабочего,получил немного на жизнь
c6_wrk_farrukh,peripheral,legit,false,рабочий-мигрант,зарплата; доля аренды Акмалю; отправляет семье
c6_wrk_dilshod,peripheral,legit,false,рабочий-мигрант,зарплата; доля аренды Акмалю; отправляет семье
c6_wrk_gani,peripheral,legit,false,рабочий бригады,зарплата; обеды в кафе; жене
c6_wrk_gani_wife_saniya,peripheral,legit,false,жена рабочего,хозяйство
c6_wrk_meiram,peripheral,legit,false,рабочий бригады,зарплата раз в две недели; купил старую машину
c6_wrk_azamat,peripheral,legit,false,рабочий бригады,уволился в середине июля; аренда
c6_wrk_yerkin,peripheral,legit,false,рабочий бригады,пришёл в середине июля
c6_wrk_kuanysh,peripheral,legit,false,рабочий бригады,зарплата; жене
c6_wrk_kuanysh_wife_ainura,peripheral,legit,false,жена рабочего,хозяйство
c6_wrk_zhenis,peripheral,legit,false,рабочий бригады,зарплата; гасит ломбард
c6_wrk_talgat,peripheral,legit,false,помощник прораба,зарплата раз в две недели; вернул долг бригадиру
c6_wrk_islam,peripheral,legit,false,рабочий бригады,зарплата; курсы
c6_wrk_abylai,peripheral,legit,false,рабочий бригады,зарплата; друг Даулета
