handle,functional_role,involvement,is_known,archetype,note
c3_dostavshik_ainur,peripheral,legit,false,курьер доставки,зарплата от ИП; аренда квартиры
c3_dostavshik_dias,peripheral,legit,false,курьер доставки,зарплата от ИП; сдаёт наложенный платёж
c3_dostavshik_zhenis,peripheral,legit,false,курьер доставки,зарплата от ИП; немного покупает USDT для себя
c3_dostavshik_olzhas,peripheral,legit,false,курьер доставки,зарплата от ИП; сдаёт наложенный платёж
c3_starosta_madina,consolidator,legit,false,староста группы,собирает с одногруппников на курс и оплачивает учебный центр
c3_student_alina,peripheral,legit,false,студентка,снимает комнату у хозяйки и сдаёт старосте
c3_student_kamshat,peripheral,legit,false,студентка,снимает комнату у хозяйки и сдаёт старосте
c3_student_nurbol,peripheral,legit,false,студент,сдаёт старосте на курс
c3_student_aigerim,peripheral,legit,false,студентка,сдаёт старосте двумя частями
c3_student_dias_k,peripheral,legit,false,студент,сдаёт старосте на курс
c3_hozyaika_raushan,consolidator,legit,false,хозяйка квартиры,сдаёт комнаты четырём студенткам и собирает аренду; платит коммуналку и помогает сыну
c3_syn_raushan,peripheral,legit,false,сын хозяйки,получает помощь от матери
c3_mama_arman,peripheral,legit,false,мать закладчика,получает помощь от сына; помогает дочери
c3_sestra_arman,peripheral,legit,false,сестра закладчика,учёба
c3_drug_madi,peripheral,legit,false,друг закладчика,занял и вернул
c3_zhena_timur,peripheral,legit,false,жена курьера,бытовые траты семьи
c3_mama_sanzhar,peripheral,legit,false,мать закладчика,бытовые траты
c3_mama_yerbol,peripheral,legit,false,мать закладчика,бытовые траты
c3_mama_aibek,peripheral,legit,false,мать закладчика,бытовые траты
c3_zhena_ruslan,peripheral,legit,false,жена курьера,бытовые траты и предоплата тоя
c3_mama_zhanna,peripheral,legit,false,мать дропа,бытовые траты
c3_mama_aruzhan,peripheral,legit,false,мать дропа,содержит дочь-студентку и сына
c3_brat_aruzhan,peripheral,legit,false,брат дропа,спортзал и кафе
c3_podruga_aruzhan,peripheral,legit,false,подруга дропа,мелкие расходы
c3_drug_beka,peripheral,legit,false,друг дропа (таксист),занял и вернул
c3_papa_beka,peripheral,legit,false,отец дропа,даёт карманные и платит за машину
c3_mama_dana,peripheral,legit,false,мать дропа,содержит двух дочерей
c3_sestra_dana,peripheral,legit,false,сестра дропа,учёба
c3_zhena_samat,peripheral,legit,false,жена дропа,бытовые траты
c3_mama_samat,peripheral,legit,false,мать дропа,бытовые траты
c3_apa_nazerke,peripheral,legit,false,бабушка дропа,делится пенсией с внучкой
c3_mama_zhanibek,peripheral,legit,false,мать дропа,содержит сына
c3_mama_ilya,peripheral,legit,false,мать дропа,бытовые траты
c3_sestra_moldir,peripheral,legit,false,сестра дропа,одалживает и получает обратно
c3_mama_askhat,peripheral,legit,false,мать дропа,бытовые траты
c3_mama_tomiris,peripheral,legit,false,мать дропа,содержит дочь
c3_drug_kanat,peripheral,legit,false,друг дропа,мелкие траты
c3_papa_vlad,peripheral,legit,false,отец дропа,содержит сына и чинит машину
c3_mama_saule,peripheral,legit,false,мать дропа,помогает дочери с внуком
c3_drug_ersultan,peripheral,legit,false,друг дропа,мелкие траты
c3_mama_gulnaz,peripheral,legit,false,мать дропа,бытовые траты
c3_zhena_bolat,peripheral,legit,false,жена сборщика,тратит то что даёт муж: мебель и салон
c3_mama_zhena_bolat,peripheral,legit,false,тёща сборщика,бытовые траты
c3_mama_kamila,peripheral,legit,false,мать второго сборщика,бытовые траты
c3_mama_kairat,peripheral,legit,false,мать организатора,получила от сына и внесла предоплату за той
